timestamp,sport,game,home_team,away_team,bet_type,bet_side,line,edge_pct,confidence,signals,suggested_bet,implied_prob,true_prob,reasoning,game_id,sport_key,outcome,profit_loss,notes
2026-06-01 05:13 ET,MLB,Colorado Rockies @ Los Angeles Angels,Los Angeles Angels,Colorado Rockies,moneyline,away,+178,9.1,80,public_fade + sharp_money + rest_disadvantage + model_edge,36.0,36.0,45.1,Edge 9.1% on Colorado Rockies moneyline. 77% public on Los Angeles Angels -- fade value on Colorado Rockies. Sharp money on Los Angeles Angels -- line moved opposite to 77% public.,espn_401815586,baseball_mlb,P,0.0,
2026-06-01 22:47 ET,MLB,Detroit Tigers @ Tampa Bay Rays,Tampa Bay Rays,Detroit Tigers,moneyline,home,-143,17.5,35,rest_disadvantage + model_edge,50.0,58.9,76.4,Edge 17.5% on Tampa Bay Rays moneyline. Tampa Bay Rays on back-to-back -- fatigue factor. Power rating: Tampa Bay Rays wp=63.2% / Detroit Tigers wp=37.7% — Tampa Bay Rays underpriced (model 76.4% vs mkt 58.9%).,espn_401815591,baseball_mlb,P,0.0,
2026-06-01 22:47 ET,MLB,Kansas City Royals @ Cincinnati Reds,Cincinnati Reds,Kansas City Royals,moneyline,home,-131,8.5,35,rest_disadvantage + model_edge,49.0,56.7,65.2,Edge 8.5% on Cincinnati Reds moneyline. Cincinnati Reds on back-to-back -- fatigue factor. Power rating: Cincinnati Reds wp=50.8% / Kansas City Royals wp=38.3% — Cincinnati Reds underpriced (model 65.2% vs mkt 56.7%).,espn_401815592,baseball_mlb,P,0.0,
2026-06-02 12:02 ET,MLB,Cleveland Guardians @ New York Yankees,New York Yankees,Cleveland Guardians,moneyline,away,+202,8.3,80,public_fade + sharp_money + rest_disadvantage + model_edge,31.0,33.1,41.4,Edge 8.3% on Cleveland Guardians moneyline. 92% public on Cleveland Guardians -- fade value on New York Yankees. ML moved 51 pts on New York Yankees (-199→-250) — steam toward New York Yankees.,espn_401815590,baseball_mlb,P,0.0,
2026-06-02 22:53 ET,MLB,San Diego Padres @ Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,moneyline,away,+178,13.6,60,sharp_money + rest_disadvantage + model_edge,50.0,36.0,49.6,Edge 13.6% on San Diego Padres moneyline. ML moved 25 pts on Philadelphia Phillies (-194→-219) — steam toward Philadelphia Phillies. Philadelphia Phillies on back-to-back -- fatigue factor.,espn_401815609,baseball_mlb,P,0.0,
2026-06-02 22:53 ET,MLB,Detroit Tigers @ Tampa Bay Rays,Tampa Bay Rays,Detroit Tigers,moneyline,home,-149,14.8,55,rest_disadvantage + weather_edge + model_edge,50.0,59.8,74.7,"Edge 14.8% on Tampa Bay Rays moneyline. Tampa Bay Rays on back-to-back -- fatigue factor. Wind 16mph at MLB game — check wind direction, affects totals.",espn_401815606,baseball_mlb,P,0.0,
2026-06-03 04:49 ET,MLB,San Francisco Giants @ Milwaukee Brewers,Milwaukee Brewers,San Francisco Giants,moneyline,home,-156,15.9,80,public_fade + sharp_money + rest_disadvantage + model_edge,50.0,60.9,76.9,Edge 15.9% on Milwaukee Brewers moneyline. 90% public on San Francisco Giants -- fade value on Milwaukee Brewers. Sharp money on Milwaukee Brewers -- line moved opposite to 10% public.,espn_401815614,baseball_mlb,P,0.0,
2026-06-03 04:49 ET,MLB,San Diego Padres @ Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,moneyline,away,+178,13.6,80,public_fade + sharp_money + rest_disadvantage + model_edge,50.0,36.0,49.6,Edge 13.6% on San Diego Padres moneyline. 83% public on Philadelphia Phillies -- fade value on San Diego Padres. ML moved 25 pts on Philadelphia Phillies (-194→-219) — steam toward Philadelphia Phillies.,espn_401815609,baseball_mlb,P,0.0,
2026-06-03 22:48 ET,MLB,Pittsburgh Pirates @ Houston Astros,Houston Astros,Pittsburgh Pirates,moneyline,away,-105,6.3,55,rest_disadvantage + weather_edge + model_edge,32.0,51.2,57.5,"Edge 6.3% on Pittsburgh Pirates moneyline. Houston Astros on back-to-back -- fatigue factor. Rain 2.7mm forecast — potential delays/cancellations, affects totals.",espn_401815625,baseball_mlb,,,
2026-06-03 22:48 ET,MLB,Kansas City Royals @ Minnesota Twins,Minnesota Twins,Kansas City Royals,moneyline,home,-102,9.9,35,rest_disadvantage + model_edge,50.0,50.5,60.4,Edge 9.9% on Minnesota Twins moneyline. Minnesota Twins on back-to-back -- fatigue factor. Power rating: Minnesota Twins wp=46.0% / Kansas City Royals wp=38.7% — Minnesota Twins underpriced (model 60.4% vs mkt 50.5%).,espn_401815624,baseball_mlb,,,
